.	0	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	0	412	40958	218122	422502	630646	860626	1111074	1506739	1961323	2440995	3013899	3657544	4413212	5304417	6286754	7384950	8713554	10162213	11973360	13889704	16170016	18815525	21845521	25249000	28919626	33137367	38167132	43543033	50231125	58120106	68200560	80276644	101060795	151471603	348378631	368554703	
.	1	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	1	380	62924	299314	564924	839542	1143894	1476275	1983285	2558938	3163320	3880194	4683966	5602314	6710794	7887789	9218437	10809387	12514882	14648770	16815868	19449555	22359823	25677313	29418323	33327915	37884053	43311165	49160204	56380878	64902973	75941293	89062095	111386745	163021703	346553290	368554703	
.	2	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	2	870	62009	301301	570251	847443	1153077	1485281	2000505	2582864	3192483	3914785	4724706	5645169	6753666	7928318	9259659	10846432	12551250	14680222	16847580	19476682	22382886	25687979	29416473	33317851	37860350	43276678	49104033	56301437	64811276	75808978	88943663	111239523	162703887	346060699	368554703	
.	3	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	3	18475	255022	564828	855702	1136236	1438716	1763662	2270193	2845721	3446924	4161910	4963894	5876605	6980935	8152775	9479550	11059555	12759201	14879957	17041895	19662902	22556412	25845956	29548523	33428156	37940101	43311876	49097862	56241392	64689472	75606676	88689319	110902076	162207786	345422048	368554703	
.	4	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	4	329	58080	291734	557361	832237	1137248	1469709	1986059	2574082	3189824	3919620	4737420	5672118	6796734	7985729	9334055	10936346	12660650	14804725	16991742	19640084	22561387	25888690	29632274	33549940	38108440	43535003	49372225	56579260	65100343	76063952	89235815	111524232	162881209	345553099	368554703	
.	5	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	5	437	55736	282990	540879	808048	1105124	1430614	1939395	2519751	3127528	3851651	4662964	5588125	6703664	7885626	9225946	10819950	12534893	14668557	16846955	19484054	22392048	25700827	29424060	33328860	37869548	43276849	49089343	56267544	64757831	75687022	88815243	111045501	162375668	345320269	368554703	
.	6	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	6	255	58470	297060	566518	845871	1154348	1491335	2013922	2608082	3230706	3967585	4792882	5731277	6859312	8055543	9409186	11014342	12739512	14882634	17072821	19718166	22638413	25965600	29694616	33614825	38170304	43590532	49410406	56605693	65113272	76035357	89151650	111316565	162630336	345441117	368554703	
.	7	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	7	2218	63997	318315	606191	902273	1229575	1584101	2128885	2747275	3392415	4154207	5006039	5972405	7133133	8356596	9745292	11386554	13147261	15332833	17562060	20255672	23220122	26583441	30364924	34321470	38926282	44399062	50285554	57546177	66140319	77164757	90449708	112845500	164206647	345142137	368554703	
.	8	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	8	3303	103412	393906	706028	1015371	1349643	1705922	2260321	2884155	3527180	4289700	5141268	6103584	7257150	8471353	9851632	11481070	13227563	15392380	17604181	20268266	23205729	26548874	30299955	34233358	38809703	44245824	50077037	57284148	65812558	76746100	89918228	112140033	163404309	345030944	368554703	
.	9	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	9	505	68315	335594	632129	937003	1270795	1633349	2190832	2822172	3475785	4251039	5115128	6093496	7262323	8493108	9893186	11538818	13305572	15490051	17722994	20415018	23374418	26739496	30516556	34468377	39073432	44542559	50410838	57667517	66248006	77242823	90504464	112833743	164133904	344949975	368554703	
.	10	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	10	281	64754	329128	625224	929412	1264178	1626869	2184058	2816617	3473387	4248670	5115004	6095029	7264761	8498728	9899221	11549016	13319522	15506498	17746839	20440845	23407896	26778644	30561783	34528293	39145439	44626564	50510054	57781243	66382861	77380976	90663279	113004947	164296072	344821198	368554703	
.	11	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	11	415	67015	340297	643913	955528	1297908	1668748	2235817	2874590	3538542	4320593	5191150	6178762	7355449	8595254	10004346	11658947	13434797	15625828	17872110	20570131	23542409	26917729	30700945	34671658	39294574	44779855	50667427	57939741	66551000	77547097	90841889	113194709	164468865	344850863	368554703	
