.	0	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	0	3398	3916	5867	33958	102454	145180	207651	253842	309339	379158	435662	546099	610713	706752	842405	967886	1154068	1287091	1525610	1765826	2068610	2453592	2861134	3349471	3945160	4766716	5657431	6674556	11208856	12903792	14942012	17637397	21511831	28080190	37380700	53323899	135938336	640073487	642057427	
.	1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	1	2578	3136	4309	38796	148629	215745	317102	394640	487266	603534	698886	881413	989155	1148297	1370928	1575038	1879752	2085409	2474590	2846884	3326869	3910974	4527172	5260173	6156489	7374069	8682987	10154850	15582827	17902364	20777131	24499384	29969630	38988962	51129597	70205608	152575214	640274332	642057427	
.	2	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	2	1371	1756	2475	19874	76924	114777	167559	210977	261431	323736	377879	474786	538429	632845	754966	877878	1048982	1183593	1415874	1642264	1945394	2311478	2714421	3186914	3779698	4587007	5466855	6491883	12235545	13930832	15985981	18712340	22682796	29418012	38899545	54858562	138069217	639820040	642057427	
.	3	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	3	1312	1668	2292	15907	62988	93105	137044	172877	215795	269205	315950	401014	457199	540558	652249	762950	919477	1041053	1255665	1465843	1746041	2089488	2465767	2913172	3475212	4239907	5081633	6057852	11867532	13474422	15451096	18075275	21918726	28423957	37577255	53014271	136060076	639784305	642057427	
.	4	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	4	1562	1954	2573	19062	73326	107913	160014	200792	250398	312512	366087	464825	528604	621784	749276	871804	1050987	1183873	1420634	1654668	1960103	2334484	2741495	3230057	3834375	4657997	5561699	6603481	12520250	14215937	16325071	19105517	23193611	30080262	39678175	55682534	140114479	639848390	642057427	
.	5	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	5	1272	1648	2295	17738	70121	103644	153116	191954	239698	300179	351684	446828	508229	597175	720997	838939	1012860	1141330	1370739	1598676	1894758	2260812	2655134	3132585	3722368	4531155	5420995	6440286	12599513	14267800	16355727	19109308	23187303	30074476	39646412	55537328	139074352	639762844	642057427	
.	6	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	6	1285	1667	2261	18136	72816	108913	159474	201278	251073	311769	365617	460965	524687	619139	741315	864765	1033312	1168971	1400375	1626655	1929428	2293614	2696780	3168020	3761568	4561731	5434764	6458053	13078217	14776017	16813376	19521392	23442967	30091005	39491090	55417970	141395063	639623782	642057427	
.	7	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	7	1476	1963	2682	20276	78086	114216	167595	210569	261781	326252	381960	483843	549433	645971	776899	903846	1085403	1223440	1467675	1706536	2022419	2407251	2826876	3324253	3945756	4787025	5707879	6774943	12387995	14132849	16270172	19095661	23219683	30162483	39880298	56132652	141584967	639975839	642057427	
.	8	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	8	1589	2080	2793	20784	80460	117695	173421	217170	269882	336819	393693	499512	566725	666982	801638	932045	1118504	1260316	1512097	1755846	2079314	2471841	2899832	3406341	4037479	4890089	5822070	6902789	12629578	14396334	16541342	19377359	23492289	30417118	40125472	56401155	142520617	639967649	642057427	
.	9	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	9	1679	2167	2851	21839	84547	125445	183703	231110	287214	356706	417680	526309	598038	704781	842725	980619	1170942	1321689	1581959	1834250	2171205	2573045	3017282	3536119	4186470	5064355	6018183	7134612	13033528	14862093	17051749	19961303	24155939	31223692	41158821	57838687	145407360	639975349	642057427	
.	10	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	10	1591	2126	2908	23554	93614	138813	203200	254488	315494	390070	455026	571386	646711	758134	903545	1046848	1247659	1402234	1669982	1932078	2276846	2689825	3142720	3677287	4340548	5230835	6200448	7328832	13149143	14986064	17195927	20118762	24328159	31401458	41311743	57950913	145383896	640014772	642057427	
.	11	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	11	1590	2010	2626	21925	90450	135294	200060	252591	316199	392879	461435	581701	662582	782426	933820	1088435	1294823	1463627	1748785	2024162	2392165	2825774	3308248	3865053	4563284	5495004	6499838	7683869	13684893	15619493	17891952	20907760	25208457	32402615	42540039	59630680	149242075	639929762	642057427	
.	12	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
