.	0	2	14	21	27	32	
.	0	2548	101353	152299	152934	3454888	
.	1	2	14	21	27	32	
.	1	674	101247	145454	147132	3454888	
.	2	2	14	21	27	32	
.	2	121	89390	128693	130343	3454888	
.	3	2	14	21	27	32	
.	3	15	73893	124850	126351	3454888	
.	4	2	14	21	27	32	
.	4	2	66700	120644	122635	3454888	
.	5	2	14	21	27	32	36	
.	5	22	77612	131862	140810	282913	3454888	
.	6	2	14	21	27	32	36	
.	6	9	75665	119388	126035	265632	3454888	
.	7	2	14	21	27	32	36	
.	7	19	85550	128763	135143	277964	3454888	
.	8	2	14	21	27	32	36	
.	8	66	103704	148076	159032	330166	3454888	
.	9	2	14	21	27	32	36	
.	9	90	127917	175009	184136	347997	3454888	
.	10	2	14	21	27	32	36	
.	10	206	89507	123785	130712	271811	3454888	
.	11	2	14	21	27	32	36	
.	11	67	90432	123826	130054	268156	3454888	
.	12	2	14	21	27	32	36	
.	12	189	89142	121561	128624	264610	3454888	
.	13	2	14	21	27	32	36	
.	13	65	98328	144785	151711	291566	3454888	
.	14	2	14	21	27	32	36	
.	14	65	93948	127896	134841	274987	3454888	
.	15	2	14	21	27	32	36	
.	15	22	95851	129368	135922	274020	3454888	
.	16	2	14	21	27	32	36	
.	16	10	95370	128478	135157	272456	3454888	
.	17	2	14	21	27	32	36	
.	17	18	103190	140649	147150	287139	3454888	
.	18	2	14	21	27	32	36	
.	18	30	102600	133186	139376	277500	3454888	
.	19	2	14	21	27	32	36	
.	19	25	102893	132745	138963	276267	3454888	
.	20	2	14	21	27	32	36	
.	20	31	102102	132346	138117	273301	3454888	
.	21	2	14	21	27	32	36	
.	21	31	120462	155767	161338	297570	3454888	
.	22	2	14	21	27	32	36	
.	22	11	106058	135415	140977	276452	3454888	
.	23	2	14	21	27	32	36	
.	23	3	108761	139708	145521	281662	3454888	
.	24	2	14	21	27	32	36	
.	24	1	119962	160922	166802	301834	3454888	
.	25	14	21	27	32	36	
.	25	119952	158878	164769	300180	3454888	
.	26	2	14	21	27	32	36	
.	26	29	112202	144882	150602	285651	3454888	
.	27	2	14	21	27	32	36	
.	27	19	111777	144238	150311	285328	3454888	
.	28	2	14	21	27	32	36	
.	28	12	122975	155837	162275	301926	3454888	
.	29	2	14	21	27	32	36	
.	29	13	119943	152207	159390	299773	3454888	
.	30	14	21	27	32	36	
.	30	123402	156355	163995	304671	3454888	
.	31	2	14	21	27	32	36	
.	31	24	126615	159871	167664	310306	3454888	
.	32	2	14	21	27	32	36	
.	32	1	126365	159884	167948	309388	3454888	
.	33	2	14	21	27	32	36	
.	33	19	129286	164571	173130	314999	3454888	
.	34	2	14	21	27	32	36	
.	34	17	131290	167580	175791	318921	3454888	
.	35	14	21	27	32	36	
.	35	133762	172053	180630	322941	3454888	
.	36	2	14	21	27	32	36	
.	36	31	137053	177124	185686	325172	3454888	
.	37	2	14	21	27	32	36	
.	37	1	141769	184986	193660	333153	3454888	
.	38	2	14	21	27	32	36	
.	38	9	148557	194626	203442	344438	3454888	
.	39	2	14	21	27	32	36	
.	39	28	154922	202417	211789	355160	3454888	
.	40	2	14	21	27	32	36	
.	40	322	161960	206499	216715	365696	3454888	
.	41	2	14	21	27	32	36	
.	41	486	166188	205922	219614	375758	3454888	
.	42	2	14	21	27	32	36	
.	42	860	173433	208588	226476	390699	3454888	
.	43	2	14	21	27	32	36	
.	43	1191	179815	212471	235446	408022	3454888	
.	44	2	14	21	27	32	36	
.	44	1181	184832	215044	243044	424356	3454888	
.	45	2	14	21	27	32	36	
.	45	1507	190501	219692	251936	444180	3454888	
.	46	2	14	21	27	32	36	
