.	0	2	14	21	27	32	
.	0	179	96073	172639	174608	3454888	
.	1	2	14	21	27	32	
.	1	1	97442	196722	200340	3454888	
.	2	14	21	27	32	
.	2	68122	105423	106597	3454888	
.	3	14	21	27	32	
.	3	53209	84178	85402	3454888	
.	4	14	21	27	32	
.	4	45006	74229	75533	3454888	
.	5	2	14	21	27	32	36	
.	5	114	61295	116340	120279	267004	3454888	
.	6	14	21	27	32	36	
.	6	57760	101152	103995	247078	3454888	
.	7	2	14	21	27	32	36	
.	7	15	66129	102700	105281	254064	3454888	
.	8	14	21	27	32	36	
.	8	81866	123101	131398	304535	3454888	
.	9	2	14	21	27	32	36	
.	9	14	94370	141519	151694	306885	3454888	
.	10	2	14	21	27	32	36	
.	10	22	68800	99999	107326	246833	3454888	
.	11	14	21	27	32	36	
.	11	66726	97677	105642	242482	3454888	
.	12	2	14	21	27	32	36	
.	12	15	66746	95669	104701	238289	3454888	
.	13	2	14	21	27	32	36	
.	13	10	72045	112689	122517	257256	3454888	
.	14	2	14	21	27	32	36	
.	14	5	72238	99089	109520	243489	3454888	
.	15	2	14	21	27	32	36	
.	15	24	72861	100953	111075	245757	3454888	
.	16	2	14	21	27	32	36	
.	16	35	72327	100425	110630	244161	3454888	
.	17	2	14	21	27	32	36	
.	17	53	74387	107861	117647	253587	3454888	
.	18	2	14	21	27	32	36	
.	18	18	76043	102734	111479	245837	3454888	
.	19	2	14	21	27	32	36	
.	19	10	76079	102915	111690	246135	3454888	
.	20	2	14	21	27	32	36	
.	20	46	77920	104004	112134	245111	3454888	
.	21	2	14	21	27	32	36	
.	21	44	88605	120434	128324	262352	3454888	
.	22	2	14	21	27	32	36	
.	22	21	83698	106590	114063	248572	3454888	
.	23	2	14	21	27	32	36	
.	23	74	86012	107931	115522	249629	3454888	
.	24	2	14	21	27	32	36	
.	24	33	93745	123699	130729	264744	3454888	
.	25	2	14	21	27	32	36	
.	25	99	97884	128467	135258	268564	3454888	
.	26	2	14	21	27	32	36	
.	26	67	94104	115683	121991	255463	3454888	
.	27	2	14	21	27	32	36	
.	27	267	96931	118745	124785	258805	3454888	
.	28	2	14	21	27	32	36	
.	28	22	104077	125555	131381	268458	3454888	
.	29	2	14	21	27	32	36	
.	29	73	102440	123698	129445	265995	3454888	
.	30	2	14	21	27	32	36	
.	30	10	107567	129521	135607	274119	3454888	
.	31	2	14	21	27	32	36	
.	31	52	109432	131513	137491	276082	3454888	
.	32	2	14	21	27	32	36	
.	32	4	110747	133076	139221	277896	3454888	
.	33	2	14	21	27	32	36	
.	33	44	113514	137339	143388	281536	3454888	
.	34	2	14	21	27	32	36	
.	34	7	116661	142526	148058	286285	3454888	
.	35	2	14	21	27	32	36	
.	35	22	118041	146309	151440	287513	3454888	
.	36	2	14	21	27	32	36	
.	36	46	121153	153749	158693	289865	3454888	
.	37	2	14	21	27	32	36	
.	37	3	121614	159996	164670	288976	3454888	
.	38	2	14	21	27	32	36	
.	38	31	124647	169915	174607	294668	3454888	
.	39	2	14	21	27	32	36	
.	39	5	126789	176028	181146	297669	3454888	
.	40	2	14	21	27	32	36	
.	40	107	133387	185497	190776	309448	3454888	
.	41	2	14	21	27	32	36	
.	41	41	140251	191837	198116	320371	3454888	
.	42	2	14	21	27	32	36	
.	42	312	147124	199658	207103	337456	3454888	
.	43	2	14	21	27	32	36	
.	43	294	152966	204192	214031	351388	3454888	
.	44	2	14	21	27	32	36	
.	44	675	161499	211547	224282	371307	3454888	
.	45	2	14	21	27	32	36	
.	45	864	166831	215416	230641	385548	3454888	
.	46	2	14	21	27	32	36	
.	46	792	171693	218946	236542	404056	3454888	
.	47	2	14	21	27	32	36	
.	47	1215	177528	224715	244186	422614	3454888	
.	48	2	14	21	27	32	36	
.	48	1066	181322	228616	249554	436993	3454888	
.	49	2	14	21	27	32	36	
.	49	892	185727	232660	254929	450723	3454888	
.	50	2	14	21	27	32	36	
.	50	926	187480	233461	257358	460099	3454888	
.	51	2	14	21	27	32	36	
.	51	738	190621	236713	261259	472653	3454888	
.	52	2	14	21	27	32	36	
.	52	829	193458	240509	266084	482495	3454888	
.	53	2	14	21	27	32	36	
.	53	432	198033	246793	275181	502496	3454888	
