.	0	2	11	22	27	32	37	
.	0	46150	1597599	1774892	5186879	30361224	30361577	
.	1	2	11	22	27	32	37	
.	1	2419	1591211	1770073	5164153	30112958	30361577	
.	2	2	11	22	27	32	37	
.	2	1722	1705038	1994438	4410371	10366942	30361577	
.	3	2	11	22	27	32	37	
.	3	5859	1360134	1575366	3136427	6490441	30361577	
.	4	2	11	22	27	32	37	
.	4	6183	1145672	1511708	2600491	5019730	30361577	
.	5	2	7	11	22	27	32	37	42	
.	5	5847	72770	1013588	1617901	2381338	4337645	9630155	30361577	
.	6	2	7	11	22	27	32	37	42	
.	6	6503	66825	1125063	1907999	2532650	4442328	9072723	30361577	
.	7	2	7	11	22	27	32	37	42	
.	7	14105	66191	1053168	1835430	2389242	4202320	8552241	30361577	
.	8	2	7	11	22	27	32	37	42	
.	8	11022	60043	1042845	1770575	2280194	3934408	7943159	30361577	
.	9	2	7	11	22	27	32	37	42	
.	9	9770	53300	1050426	1859409	2369848	4211076	8514046	30361577	
.	10	2	7	11	22	27	32	37	42	
.	10	9829	43500	981491	1726945	2226867	3917751	8057333	30361577	
.	11	2	7	11	22	27	32	37	42	
.	11	11023	56189	1017670	1754644	2250809	3909325	7939126	30361577	
.	12	2	7	11	22	27	32	37	42	
.	12	11211	58145	1042513	1820932	2325802	4063643	8169617	30361577	
.	13	2	7	11	22	27	32	37	42	
.	13	11211	66145	1019664	1755767	2245524	3891097	7887377	30361577	
.	14	2	7	11	22	27	32	37	42	
.	14	12197	87559	1052345	1817603	2330965	4059273	8203146	30361577	
.	15	2	7	11	22	27	32	37	42	
.	15	14551	71874	1022159	1776953	2276309	3938615	7932661	30361577	
.	16	2	7	11	22	27	32	37	42	
.	16	12599	62987	1041951	1855352	2375764	4145221	8274328	30361577	
.	17	2	7	11	22	27	32	37	42	
.	17	14861	56057	1067258	1891106	2427781	4192816	8401464	30361577	
.	18	2	7	11	22	27	32	37	42	
.	18	15600	55951	1069197	1865871	2417121	4102610	8209566	30361577	
.	19	2	7	11	22	27	32	37	42	
.	19	11992	55226	1079536	1904082	2467917	4213165	8410508	30361577	
.	20	2	7	11	22	27	32	37	42	
.	20	13262	50966	1020322	1816378	2361021	4017870	8057959	30361577	
.	21	2	7	11	22	27	32	37	42	
.	21	13560	61242	1118581	1962276	2540376	4316400	8542882	30361577	
.	22	2	7	11	22	27	32	37	42	
.	22	13177	57148	1095335	1981431	2589487	4413851	8758115	30361577	
.	23	2	7	11	22	27	32	37	42	
.	23	16323	63755	1078651	1920997	2528809	4311164	8699219	30361577	
.	24	2	7	11	22	27	32	37	42	
.	24	10460	53212	1190506	2161142	2820505	4815126	9478211	30361577	
.	25	2	7	11	22	27	32	37	42	
.	25	13430	50762	1075299	1966132	2612276	4457660	9016376	30361577	
.	26	2	7	11	22	27	32	37	42	
.	26	12640	55682	1127809	1985721	2618960	4404997	8816345	30361577	
.	27	2	7	11	22	27	32	37	42	
.	27	17902	58827	1140113	2025426	2658281	4499834	8886824	30361577	
.	28	2	7	11	22	27	32	37	42	
.	28	16114	62097	1140835	2028238	2662786	4523320	8957879	30361577	
.	29	2	7	11	22	27	32	37	42	
.	29	17534	69724	1146710	2046342	2677978	4550627	9039855	30361577	
.	30	2	7	11	22	27	32	37	42	
.	30	18411	70013	1128207	1998094	2620246	4433000	8801778	30361577	
.	31	2	7	11	22	27	32	37	42	
.	31	21248	85405	1204130	2118203	2760929	4639848	9079339	30361577	
.	32	2	7	11	22	27	32	37	42	
.	32	23177	89095	1249518	2198801	2857384	4816941	9369590	30361577	
.	33	2	7	11	22	27	32	37	42	
.	33	21177	77120	1206635	2132655	2780464	4657096	9128684	30361577	
.	34	2	7	11	22	27	32	37	42	
.	34	24805	82450	1249113	2183703	2841768	4766551	9271286	30361577	
.	35	2	7	11	22	27	32	37	42	
.	35	24677	77807	1275285	2209277	2878836	4852540	9451649	30361577	
.	36	2	7	11	22	27	32	37	42	
.	36	20111	83498	1356840	2255972	2939455	4924969	9555910	30361577	
.	37	2	7	11	22	27	32	37	42	
.	37	20999	78334	1372622	2281411	2976831	5033953	9778657	30361577	
.	38	2	7	11	22	27	32	37	42	
.	38	16241	72232	1467277	2294768	2994229	5031755	9770360	30361577	
.	39	2	7	11	22	27	32	37	42	
.	39	12897	77995	1493938	2320659	3023969	5073516	9790090	30361577	
.	40	2	7	11	22	27	32	37	42	
.	40	14380	71421	1452127	2295991	2999189	5077113	9858382	30361577	
.	41	2	7	11	22	27	32	37	42	
.	41	10062	74272	1489591	2318522	3025370	5086948	9855415	30361577	
.	42	2	7	11	22	27	32	37	42	
.	42	8735	65558	1424554	2298232	3011898	5110763	9877896	30361577	
.	43	2	7	11	22	27	32	37	42	
.	43	10136	66904	1439253	2312319	3045276	5179010	10032197	30361577	
.	44	2	7	11	22	27	32	37	42	
.	44	14672	76606	1527671	2400877	3140860	5278888	10179652	30361577	
.	45	2	7	11	22	27	32	37	42	
.	45	10660	71435	1556139	2441479	3188174	5364690	10317152	30361577	
.	46	2	7	11	22	27	32	37	42	
.	46	12607	78638	1614391	2508582	3257126	5426474	10371321	30361577	
