.	0	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	0	2279	3471	4106	4763	6029	6957	7936	8769	9790	10766	11933	13116	14407	15694	17373	19213	21423	23965	26520	29398	32286	35101	38218	42178	45542	50089	54682	59939	65641	72003	78057	85863	93941	104534	113779	126458	136813	154362	169361	192334	6622673	
.	1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	1	2279	3448	3914	4527	5561	6341	7225	8088	9017	10020	11337	12685	14166	15469	17103	18781	20584	23330	25583	28522	31594	34924	37733	41637	44792	49442	53947	59155	64487	70945	77106	84468	91852	101744	110464	122605	132580	149862	164185	186144	6622673	
.	2	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	2	1335	1821	2486	3629	4559	5504	6441	7525	8584	9984	11328	12887	14259	15907	17735	19637	22234	24577	27661	31109	34541	37469	41672	45035	50069	54734	60316	66016	72730	79253	86893	94454	104731	113640	126282	136427	153831	168449	190487	6622673	
.	3	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	3	954	1312	1756	2739	3480	4269	5079	5874	6765	7914	8924	10390	11539	13282	15194	17207	19632	22069	25130	28240	31224	34037	37765	41057	45606	49950	55181	60806	67113	73083	80808	88210	98427	106989	119499	129153	146563	160461	182561	6622673	
.	4	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	4	1270	1574	2075	2990	3775	4584	5388	6206	7052	8128	9149	10384	11544	13145	14987	16984	19459	22239	25702	29792	33525	36391	40583	43906	48991	53722	59214	64857	71136	77762	85087	92717	102661	111962	124502	134774	152175	167097	189476	6622673	
.	5	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	5	1094	1417	1837	2783	3531	4312	5053	5872	6684	7727	8739	9889	11192	12941	14994	17163	19559	22299	25285	28684	32138	35558	40011	43518	48502	53491	59407	65758	71968	78382	86439	94654	104648	114538	127416	137964	155257	170826	192834	6622673	
.	6	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	6	813	1117	1559	2377	3114	3849	4482	5267	6033	6981	7908	9010	10126	11778	13735	15722	18024	20413	23280	26383	29444	32152	35959	39092	43745	48173	53521	58980	65092	71254	78470	86071	95867	104680	116869	126577	143365	157587	179171	6622673	
