.	0	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	0	101352	129581	183928	226914	382517	495937	625189	757352	902357	1060196	1225404	1421874	1633861	1825182	2069200	2297118	2525621	2801812	3103167	3413137	3816444	4207435	4714530	5175264	5737984	6319893	6947681	7732442	8440250	9474500	10405530	11512350	12700962	13963784	15419509	17044351	18466635	20629771	22445855	25363669	666012608	
.	1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	1	73735	115759	208841	274835	395383	498341	610999	757260	941151	1125074	1332720	1562529	1850290	2084431	2361242	2603338	2830339	3088212	3387564	3682731	4059172	4402685	4854900	5258919	5765157	6260270	6813439	7516230	8102465	9034893	9797022	10711432	11740862	12847209	14044165	15482299	16744461	18823503	20584162	23737535	666012608	
.	2	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	2	131409	177539	347323	461203	634425	794639	993843	1319834	1761836	2231510	2726849	3220741	3754568	4168218	4941395	5488355	5879306	6455671	7063083	7520127	8236640	8726584	9538803	10106828	11030088	11641202	12381554	13501728	14265168	15686095	16626101	17712188	18980290	20634091	22128289	23835084	25467874	28140966	30217977	33933395	666012608	
.	3	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	3	2598	29423	210247	330858	518944	693372	892721	1197954	1621411	2073378	2546748	3026927	3538732	3968206	4623179	5152242	5563944	6121918	6701682	7180537	7871338	8386785	9169526	9759306	10653538	11289620	12054550	13145543	13939868	15341049	16320159	17444756	18764779	20379849	21942125	23697048	25376794	28021840	30090217	33682679	666012608	
.	4	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	4	5438	24559	168521	268207	434640	581357	742742	974491	1287201	1621648	1977636	2349397	2756344	3115857	3623217	4055171	4411682	4873833	5360588	5793146	6386822	6864714	7551489	8101491	8896767	9506067	10226880	11220890	11980995	13271075	14219154	15309230	16581872	18084693	19596367	21302392	22903353	25411079	27400081	30828022	666012608	
