.	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	0	558	32701	229360	582254	918686	1164857	1490800	1817326	2141746	2554867	2899603	3383192	3817271	4438634	5010785	5689985	6401656	7256895	8306806	9236664	10678538	11941825	13659985	15472033	17096438	19617894	22183045	25409735	28078768	32186312	37474113	43874047	53042656	66604445	101075214	317968111	345857620	
.	1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	1	85	255	9464	136015	404517	673408	860855	1120532	1386978	1646267	1987960	2264822	2665044	3017183	3535304	4000746	4574031	5154919	5875673	6766065	7528108	8764698	9813745	11293837	12872403	14239004	16408860	18681413	21547369	23825419	27503668	32310810	38219441	46674637	59569120	93728274	315461146	345857620	
.	2	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	2	61975	62048	67052	139404	304317	470249	594892	762553	939607	1118015	1352776	1555660	1844261	2113111	2502570	2874823	3316937	3798559	4376167	5110132	5764079	6813387	7753215	9027943	10411609	11669621	13661965	15703719	18325549	20523050	23976237	28512239	34099379	42326164	54832809	88125949	314806202	345857620	
.	3	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	3	78763	78782	79945	138452	289615	442953	562077	719475	887792	1059687	1283200	1481344	1758343	2023044	2398922	2766118	3188883	3663373	4219777	4926195	5567236	6568979	7496455	8715652	10034870	11276624	13194672	15138549	17647427	19832449	23150704	27500682	32867531	40883983	52984026	85872933	315218985	345857620	
.	4	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	4	61930	61931	62228	120374	277180	436441	559927	722897	898803	1076340	1308572	1513575	1800479	2074688	2462976	2843285	3282375	3773442	4348482	5080406	5744219	6780386	7735362	8995000	10358491	11631854	13607272	15609245	18191631	20421365	23833636	28299212	33801177	41988279	54336925	87802421	315940670	345857620	
.	5	0	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
