.	0	2	9	10	11	12	14	16	17	18	19	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	0	496483	507548	531955	543091	578816	594005	614858	633119	651654	737177	763220	784164	820314	834205	943405	981691	984972	1174348	1194539	1415366	1564770	1601514	2038084	2071915	2443385	2679035	2927664	3937652	4523230	9048798	
.	1	2	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	1	542048	542053	542061	542490	547618	552626	563723	589941	609209	649777	659233	673585	677859	710726	741016	772859	848512	871149	905846	938718	1001693	1029958	1122095	1188652	1237351	1391048	1444644	1587020	1728401	1770044	2125371	2164459	2522774	2790364	2975874	3921342	4513396	9048798	
.	2	2	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	2	550489	550505	550561	552393	558099	564738	575855	603777	628152	660371	669823	684025	688673	724128	756626	788313	860252	886832	916678	949414	1013542	1039841	1134113	1192370	1243482	1390701	1448400	1582766	1725144	1766809	2122848	2161527	2523734	2794777	2983039	3918747	4517081	9048798	
.	3	2	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	3	561317	561337	561527	564534	570861	578894	590400	620544	646701	671872	681178	695838	701102	738958	772928	802346	869168	896035	923202	956210	1019836	1044400	1138407	1190154	1239885	1384714	1442056	1572682	1712956	1755104	2109180	2147891	2514963	2787042	2973368	3902972	4510093	9048798	
.	4	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	4	575549	575550	575583	575769	579336	586787	595803	608984	640139	662589	681867	691580	707942	713125	753409	787500	813691	872070	897409	924304	956985	1018602	1042843	1128060	1177508	1223226	1362532	1417545	1544244	1679102	1720697	2071906	2110311	2483532	2761122	2940786	3861023	4481135	9048798	
.	5	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	5	599922	599926	599942	600060	603175	610568	620854	637630	669064	684916	700143	710390	731050	735722	783203	815420	837550	883092	906304	938661	970122	1033085	1060617	1132310	1186645	1227913	1372222	1423721	1546498	1679400	1726213	2069052	2108345	2488784	2771032	2940756	3872844	4479048	9048798	
.	6	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	6	614369	614371	614389	614514	617442	623502	632176	646570	677841	699506	719001	728388	744575	749959	792554	826245	853295	907646	934183	964561	999449	1066778	1094376	1174730	1230251	1283447	1424547	1486342	1605232	1746764	1795750	2142655	2181064	2560624	2833744	3020521	3967486	4580237	9048798	
.	7	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	7	624088	624089	624094	624213	626915	632401	640435	653160	683282	706570	728265	737335	751512	756844	797047	830151	859219	917568	943880	973436	1008570	1077658	1105632	1189387	1245212	1303395	1442886	1510244	1629599	1775766	1826274	2178894	2217801	2598724	2872394	3067041	4023773	4643141	9048798	
.	8	2	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	8	637151	637159	637298	640031	645556	653115	665177	694004	717678	740743	749358	762603	768075	807110	840351	870791	929482	956484	985468	1021319	1092412	1120293	1204348	1260865	1322404	1459240	1530821	1648156	1797218	1847344	2204391	2244350	2625870	2899542	3099504	4063181	4690194	9048798	
.	9	2	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	9	651567	651577	651720	654299	659557	666906	678555	706477	729541	752836	761063	773316	778788	816519	849120	879714	938870	966073	994403	1030554	1102615	1130647	1214603	1271159	1336106	1471020	1545820	1662164	1813070	1863405	2222929	2262847	2648128	2923315	3127757	4099951	4737308	9048798	
.	10	2	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	10	668077	668088	668247	671593	679181	689539	705433	735457	751927	767968	778219	795291	799299	844850	877324	899677	943179	966379	996060	1028177	1094254	1120970	1190051	1245737	1295886	1431650	1494414	1608003	1743722	1796995	2149545	2192073	2591111	2885283	3072464	4058657	4691723	9048798	
.	11	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	11	674552	674553	674565	674696	677535	684368	692631	706452	735226	756998	777042	785987	799291	803885	845531	879212	906552	957539	983704	1010954	1045213	1116246	1143368	1220183	1276661	1337804	1471265	1544388	1658361	1804636	1858741	2221835	2265745	2662506	2952225	3155138	4157561	4798390	9048798	
.	12	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	12	682154	682155	682165	682280	684789	690442	697901	710000	737886	761365	783835	792014	803863	808393	846647	880077	910250	964907	991520	1017982	1053285	1127126	1154632	1235421	1292967	1359895	1492299	1571648	1686815	1839037	1893863	2263400	2308059	2707162	2998192	3209382	4224139	4874745	9048798	
.	13	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	13	691325	691326	691334	691477	693913	699404	706400	717798	744615	768051	791948	800087	811200	815882	853377	886701	918184	974250	1001146	1027832	1063535	1138565	1166255	1247713	1304973	1375849	1505817	1588596	1703207	1859023	1914280	2289807	2334618	2737034	3029468	3246530	4270737	4930941	9048798	
.	14	2	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	14	704202	704208	704341	706630	711642	718352	729373	755186	778375	802537	810135	820482	825027	860970	894138	926519	983628	1010804	1036851	1072460	1149302	1177192	1259160	1317410	1391618	1520106	1607115	1721954	1880127	1935655	2315762	2361007	2766379	3060868	3282070	4313324	4981405	9048798	
.	15	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	15	719412	719413	719423	719544	722748	730397	740425	756086	785222	802643	819519	829352	843902	847422	894183	927647	951320	993326	1017474	1045608	1077767	1148985	1176042	1243388	1300853	1359277	1491250	1564673	1677968	1819335	1877907	2251108	2297896	2723107	3038775	3241816	4290944	4954607	9048798	
.	16	2	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	16	724002	724009	724153	726834	732876	740658	754211	782532	805036	826651	835101	846648	850746	891568	926938	956235	1005260	1032035	1058178	1092427	1169736	1196708	1272285	1329965	1400289	1529608	1614009	1728849	1882086	1941332	2326681	2375571	2799390	3112467	3333251	4405237	5077907	9048798	
.	17	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	17	730454	730455	730465	730594	732951	738394	745372	757354	785108	809037	833479	841223	851430	855533	893813	928857	961420	1014186	1041178	1066402	1102009	1182382	1209612	1288577	1348007	1425172	1553112	1644466	1759856	1919879	1981728	2372939	2423191	2847682	3162324	3391025	4470042	5149148	9048798	
.	18	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	18	739118	739121	739131	739273	741623	746755	753326	764845	791791	816238	842277	850008	859334	863615	900967	936225	970205	1024398	1051876	1076991	1112527	1195703	1223619	1302906	1362489	1444129	1570561	1666872	1781472	1945635	2007460	2406727	2458380	2886588	3202738	3437067	4526731	5217013	9048798	
