.	0	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	0	859	56657	310194	624211	950263	1315949	1735195	2264275	2899561	3622470	4586590	5728390	7146054	9060807	11071774	13465162	16624469	20445559	25215431	30233718	36654216	43786452	52137591	61639316	71865986	83364509	97721839	113114366	131706640	153371105	182160531	214440893	269119596	403521415	900633377	974087485	
.	1	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	1	730	54473	432666	906829	1405909	1966337	2604420	3380591	4302656	5318119	6630577	8158079	9974844	12401609	14847958	17781608	21510633	25910630	31311014	36933120	44048706	51773892	60723218	70838676	81588782	93656613	108613549	124589578	143891503	166383751	196402108	230230310	287048839	425913130	907404368	974087485	
.	2	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	2	695	36786	264260	556849	868047	1223665	1635707	2157525	2789066	3506475	4469594	5602436	7020958	8920284	10929400	13300284	16456614	20259165	24988416	30042051	36413859	43592053	51901234	61365988	71630966	83126480	97479669	112871111	131530425	153355375	182320817	215003640	270029694	406422392	902804453	974087485	
.	3	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	3	804	33502	272117	581574	911865	1288929	1724873	2274371	2936278	3687107	4683519	5854489	7313648	9253894	11297935	13710638	16904454	20744622	25501715	30585827	36972103	44156138	52478140	61937763	72182632	83682313	98001507	113383897	132044738	153900066	182849898	215714877	271025319	407854422	902970517	974087485	
.	4	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	4	870	33650	249259	529183	828088	1170891	1569116	2071758	2680386	3376304	4309293	5402824	6780104	8620823	10574575	12868339	15941243	19656564	24271525	29213021	35441337	42477997	50642166	59945034	70036713	81369824	95522936	110741722	129229885	150889248	179645694	212243690	267279539	403856987	902258281	974087485	
.	5	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	5	647	31344	252691	539698	847673	1200101	1607722	2124614	2749506	3461104	4411450	5528770	6932857	8805098	10785744	13116381	16224857	19975351	24633201	29621799	35893614	42990477	51199521	60549204	70701749	82100036	96309793	111582659	130118552	151859466	180667106	213353432	268409516	404963594	902252604	974087485	
.	6	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	6	828	31569	276172	596507	932965	1311591	1746103	2285940	2934749	3671704	4639907	5780534	7203842	9084055	11089010	13438597	16547523	20296703	24951542	29952526	36200967	43293388	51494094	60831295	70961979	82366701	96526648	111751091	130254296	151990326	180661288	213478501	268755146	405237176	900974670	974087485	
.	7	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	7	574	24593	232441	506591	799706	1136452	1529646	2027766	2633398	3327814	4255037	5351532	6732637	8571183	10532267	12846683	15932468	19651482	24281299	29250791	35485734	42567105	50752089	60090182	70240366	81637860	95836166	111096763	129628473	151366629	179982844	212565462	267336941	403054240	900743829	974087485	
.	8	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	8	549	29584	253300	544278	853109	1206797	1616502	2133869	2760109	3475944	4424479	5546337	6951237	8815282	10801950	13142614	16242917	19970445	24612718	29583914	35827573	42907041	51084854	60423071	70568470	81984089	96187255	111455331	130012662	151780269	180419787	213036558	267851483	403625305	900832193	974087485	
.	9	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	9	707	34343	284433	607582	950878	1341119	1790181	2351022	3024704	3787927	4794166	5976321	7439795	9379947	11424163	13831080	17001005	20801163	25508508	30547156	36855214	43978847	52196163	61553916	71717127	83153465	97388401	112701115	131315691	153179639	182049419	214945339	270258405	406783566	900784850	974087485	
.	10	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	10	829	36127	289043	612490	959884	1353830	1810300	2383200	3076175	3859864	4892835	6110861	7615971	9609766	11712139	14202811	17448038	21330365	26150728	31287306	37723919	44965728	53315548	62835359	73147345	84738195	99124088	114577227	133333519	155331894	184198124	217079475	272127627	407834570	900927531	974087485	
.	11	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	11	704	34202	287110	613278	960671	1353930	1808320	2375325	3059067	3833819	4852153	6052844	7541883	9507803	11590496	14051973	17267676	21109312	25882415	30986696	37360576	44570174	52880156	62345652	72620724	84190080	98539757	113962614	132696431	154697692	183516244	216465303	271593761	407353263	900322043	974087485	
.	12	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	12	615	31120	283179	610189	957721	1348200	1798819	2356504	3029934	3791568	4789253	5963088	7423067	9341392	11381852	13783714	16928700	20703209	25379908	30409718	36669393	43793381	51985829	61330242	71511313	82959094	97174648	112476279	131088205	152993243	181669716	214536888	269550954	405223007	899296612	974087485	
.	13	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	13	746	33127	286752	613676	960934	1351881	1801129	2356526	3026073	3784406	4776387	5947867	7401940	9315047	11342038	13732462	16862171	20608923	25254500	30254581	36475659	43563858	51723218	61026119	71168458	82589954	96764508	112028572	130604082	152485004	181123160	213975205	268984680	404571194	898626788	974087485	
.	14	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	14	799	35713	295328	631306	985106	1384842	1842580	2407133	3086207	3853420	4855955	6037751	7500678	9420219	11460357	13859806	16993449	20749185	25403309	30412034	36635335	43729768	51890129	61195320	71334161	82761954	96941116	112213591	130798506	152690914	181324881	214212190	269253754	404862252	898459229	974087485	
.	15	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	15	766	34254	299573	640822	1001293	1407546	1873150	2445419	3134564	3909899	4918718	6108751	7580846	9510543	11559496	13971353	17108849	20865072	25519296	30531338	36751777	43840542	51990459	61277631	71413162	82840104	96995672	112242487	130820497	152718662	181316904	214229761	269304153	404885670	898216412	974087485	
.	16	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	16	729	34594	314300	676429	1056904	1483620	1971295	2569529	3286209	4091721	5134512	6359567	7867904	9841749	11928914	14390854	17575967	21380605	26082443	31147747	37414589	44558849	52748990	62080757	72261857	83737959	97949150	113255780	131906282	153897416	182556910	215598515	270757209	406161982	897528627	974087485	
.	17	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	17	712	35214	334622	721837	1128180	1578931	2091167	2712911	3457273	4289667	5359334	6621501	8166334	10174953	12298891	14799388	18019002	21853122	26582458	31680191	37970261	45150353	53361696	62708975	72920897	84434337	98672691	114005796	132689108	154755914	183434184	216591154	271845337	407116835	896800628	974087485	
.	18	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	18	787	37685	340602	730213	1137729	1591243	2106304	2729576	3477451	4310871	5381588	6642842	8181682	10186559	12307411	14802560	18009223	21831531	26546356	31626263	37887412	45041835	53221118	62547688	72731431	84225871	98423274	113732187	132391508	154437205	183063232	216211335	271421172	406664343	896441693	974087485	
.	19	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	19	618	30255	291761	631491	988979	1390409	1847530	2407126	3081436	3841894	4830377	5998968	7441413	9329380	11342725	13702816	16779924	20476686	25049994	30003948	36118766	43142366	51192969	60374240	70431254	81758416	95812836	110967062	129432970	151235699	179643668	212463201	267309198	402281089	896180318	974087485	
.	20	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	20	498	27977	282988	615674	967780	1363521	1816958	2373872	3045167	3804607	4788402	5953497	7395133	9282473	11295255	13658546	16736377	20431810	25000694	29947729	36055238	43076397	51123787	60294447	70351666	81683102	95724170	110875565	129339545	151156338	179540425	212407214	267297973	402204704	895738787	974087485	
.	21	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
.	21	511	28312	285622	623294	979178	1376574	1832107	2391697	3065277	3826048	4813906	5981821	7424447	9311215	11324597	13684941	16756630	20447921	25011233	29954540	36052595	43067065	51096995	60252123	70292657	81602814	95631883	110762519	129216017	151031900	179401182	212265037	267160403	402078199	895527030	974087485	
.	22	0	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	
