.	0	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	0	41	480	613	745	870	1284	1657	2030	2473	2950	3447	3925	4459	5120	5755	6435	7104	7816	8722	9518	10407	11557	12599	14017	14669	15699	16385	17462	18676	20016	23632	28653	34372	39596	53076	262901	442907	1273694	
.	1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	1	2500	2514	2581	2682	2785	2926	3057	3231	3480	3729	3964	4270	4599	5090	5512	6058	6755	7708	8751	10169	11716	13874	15977	19641	21757	24530	26925	30137	30708	31400	38400	70841	97376	105974	171963	258093	398039	1273694	
.	2	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	2	2160	2192	2284	2406	2548	2772	3009	3394	3835	4295	4835	5476	6160	7226	8212	9510	10936	12765	14691	17301	20208	24130	28252	34879	38728	43375	47579	53138	53613	54375	66379	123722	164741	178859	271181	391192	470004	1273694	
.	3	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	3	1937	1964	2073	2211	2359	2562	2783	3130	3587	4033	4528	5139	5843	6921	7902	9223	10734	12655	14735	17512	20652	24902	29195	36491	41247	46966	52143	58924	59442	60147	71533	136252	178428	193890	287785	384207	464684	1273694	
.	4	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	4	1471	1492	1565	1656	1774	1951	2138	2423	2767	3208	3628	4118	4691	5478	6257	7249	8393	9902	11537	13724	16182	19661	23277	29334	32949	37508	41706	47396	47774	48332	58540	116392	155375	169780	263276	333908	438686	1273694	
.	5	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	5	1577	1603	1716	1836	1970	2183	2429	2756	3196	3668	4177	4803	5514	6500	7464	8717	10218	12099	14235	16959	20051	24272	28829	36141	40576	46427	51489	58444	58859	59555	71860	140854	185899	202638	307639	374523	469482	1273694	
.	6	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	6	1583	1605	1709	1827	1965	2214	2410	2811	3241	3748	4280	4924	5665	6725	7756	9052	10588	12619	14751	17519	20836	25238	29682	37203	41999	48033	53415	60732	61171	61878	74314	143018	187623	203850	304272	364477	451304	1273694	
.	7	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	7	1605	1644	1786	1955	2111	2359	2614	2995	3531	4140	4839	5632	6493	7818	8983	10603	12362	14744	17261	20568	24319	29399	34746	43584	49137	56118	62012	69847	70306	71046	83997	156928	202288	218213	315022	364617	436845	1273694	
.	8	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	8	2129	2166	2288	2472	2657	2907	3165	3606	4099	4670	5273	6061	6890	8122	9358	10851	12698	14966	17398	20617	24276	29323	34788	43353	49082	56276	62538	70927	71424	72185	85377	162724	209924	227610	330894	386156	464302	1273694	
.	9	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	9	1549	1579	1732	1872	2040	2270	2560	2956	3446	4048	4666	5471	6307	7550	8681	10217	12066	14344	16873	20050	23789	28866	34267	42796	48574	55702	62026	70345	70810	71562	84389	160314	206073	223001	322573	372611	446730	1273694	
.	10	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	10	1840	1886	2017	2185	2383	2698	2998	3439	4039	4724	5451	6362	7369	8892	10369	12270	14547	17583	20752	24944	29900	36524	43423	54250	61346	70084	77578	87248	88025	89044	104663	184511	232757	248815	340019	380053	441049	1273694	
.	11	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	11	1907	1942	2074	2214	2387	2648	2922	3375	3896	4488	5163	6041	6985	8370	9716	11480	13570	16334	19275	23290	27834	34099	40600	51409	58879	68012	75890	85932	86583	87577	102316	186549	235411	252566	351137	394729	469963	1273694	
.	12	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	12	1563	1599	1713	1852	2020	2265	2576	3016	3614	4284	4971	5817	6777	8214	9579	11386	13509	16364	19374	23406	28086	34371	41022	51913	59107	68080	75931	86048	86683	87760	102568	184761	232735	249367	343857	385730	455150	1273694	
.	13	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	13	2167	2215	2370	2548	2746	3044	3365	3845	4517	5191	5910	6865	7843	9325	10824	12718	15019	18088	21270	25517	30235	36611	43372	54286	61675	70563	77995	87684	88419	89487	104207	183116	229439	245106	334399	372613	439753	1273694	
.	14	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	14	1813	1850	2007	2191	2391	2673	2950	3467	4089	4802	5545	6493	7504	8984	10464	12388	14638	17655	20778	25061	29875	36463	43437	54623	62195	71238	79222	89327	90077	91149	106920	191346	241256	258632	356006	398827	469080	1273694	
.	15	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	15	1704	1732	1883	2040	2243	2530	2811	3271	3820	4476	5159	6037	7083	8598	10034	11835	14007	16946	20018	24233	29048	35335	41839	52655	60113	69202	76910	86863	87554	88667	103788	185547	233275	249915	342329	384004	452679	1273694	
.	16	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	16	1864	1898	2036	2193	2376	2652	2948	3423	4021	4699	5427	6394	7439	8869	10350	12237	14405	17359	20535	24693	29486	35871	42590	53431	60601	69583	77120	86969	87630	88698	103579	182100	228664	244417	333648	372284	437250	1273694	
.	17	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	17	1784	1807	1935	2104	2270	2606	2940	3423	4027	4735	5463	6414	7472	9095	10571	12541	14863	17917	21262	25567	30432	37140	44297	55877	63432	72750	80939	91113	91894	93010	109181	193598	243975	261060	357582	399823	467034	1273694	
.	18	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	18	1820	1855	1995	2140	2330	2615	2953	3442	4032	4731	5501	6394	7452	8983	10540	12486	14762	17696	20854	25096	29909	36535	43359	54418	61669	70518	78163	88230	88975	90067	105876	187996	236406	252929	346352	388700	451897	1273694	
.	19	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	19	1851	1901	2041	2208	2405	2712	2988	3525	4162	4811	5546	6484	7568	9131	10696	12652	14969	17975	21355	25629	30654	37211	44113	55516	62859	71666	79186	89051	89780	90934	106746	187900	235936	252341	342013	380373	441606	1273694	
.	20	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	20	1931	1972	2126	2294	2484	2760	3029	3534	4170	4879	5689	6674	7734	9403	10982	13046	15423	18628	22114	26646	31798	38753	46101	57964	65767	75329	83581	94042	94825	95940	112308	198016	248644	265774	362096	402011	469736	1273694	
.	21	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	21	1768	1810	1942	2128	2319	2602	2911	3396	4024	4710	5471	6483	7633	9185	10713	12743	15015	17985	21271	25735	30723	37397	44512	55829	63388	72584	80489	90873	91602	92734	108396	190389	238346	254785	346661	386914	454544	1273694	
.	22	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	22	2209	2245	2390	2576	2785	3113	3462	3944	4627	5381	6236	7269	8399	10067	11691	13689	15971	19074	22553	27139	32207	39030	46218	57585	65104	74225	81965	92006	92828	94006	110140	189975	237545	253443	342247	379854	443802	1273694	
.	23	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	23	2018	2060	2212	2391	2583	2881	3210	3736	4416	5169	5989	7018	8194	9940	11587	13747	16276	19622	23176	28045	33367	40725	48299	60336	68259	77832	86150	96666	97464	98628	115702	201727	253039	270253	366284	406904	471547	1273694	
.	24	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	24	1959	1993	2129	2320	2524	2860	3178	3669	4338	5036	5835	6865	7986	9650	11299	13433	15888	19131	22623	27221	32379	39191	46437	58191	65858	75052	83175	93413	94189	95352	112160	195819	245712	262422	355214	396499	457631	1273694	
.	25	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	25	2444	2483	2624	2817	3019	3347	3687	4241	4975	5737	6589	7664	8898	10669	12380	14561	17145	20547	24246	28920	34294	41423	49085	60856	68486	77667	85411	95386	96246	97443	114460	195337	243565	259553	347928	385701	444235	1273694	
.	26	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
.	26	2003	2035	2195	2372	2571	2876	3174	3720	4473	5263	6099	7146	8332	10002	11670	13853	16535	19831	23487	28363	33752	40868	48358	60267	68113	77664	85830	96301	97162	98383	115795	201400	253023	270326	366522	408964	473908	1273694	
