.	0	2	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	0	202119	203928	205278	208106	210106	211811	219496	223285	227509	229114	853474	856654	864326	879722	891604	915107	959056	1027315	1148624	1253224	1405356	1576689	1848560	1940048	2302451	2844084	3220907	4010821	5734141	35121190	35198546	
.	1	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	1	98341	98386	98865	105353	122609	130103	165249	175627	179315	187893	217008	240187	254561	261231	273331	282611	881091	893000	908979	938603	958813	998135	1046389	1123971	1266359	1392503	1578623	1744645	2003958	2112974	2463714	3007693	3433967	4215009	5923152	35093705	35198546	
.	2	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	2	37542	37580	39383	48620	80042	91449	168355	179129	183208	192597	222883	247037	262908	270577	284262	460351	882658	896064	912531	943177	964659	1005241	1054115	1135872	1275315	1401775	1585531	1749109	2005179	2112201	2461178	2995694	3421064	4206992	5946698	35065107	35198546	
.	3	2	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	3	37736	37743	38390	44858	59183	86853	108762	177709	187201	195136	206519	231004	251572	267806	277401	293827	577137	885601	901775	919007	952303	976391	1015169	1067031	1156944	1299319	1421321	1604072	1764025	2019635	2128417	2474794	3002120	3431198	4219890	5969529	35067361	35198546	
.	4	2	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	4	38334	42027	60197	83167	109869	142860	179123	236294	252269	265998	280315	302455	323061	341372	354572	374017	666170	938336	956999	974791	1011202	1037232	1075762	1131412	1227675	1371400	1488388	1666993	1818888	2058600	2167818	2512610	2999581	3422086	4208807	5963908	35057933	35198546	
.	5	2	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	5	39693	40729	58686	75322	87530	106152	122476	144341	161790	179819	198852	220469	243666	267571	282851	308763	543295	764675	792347	824720	870409	900158	960743	1022598	1134738	1272450	1397970	1607052	1737682	1948104	2044165	2437125	2923505	3340832	4065780	5709816	35031923	35198546	
.	6	2	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	6	40084	40089	45454	52889	59739	75149	84062	97817	111007	119439	134322	151902	171048	195971	206373	228399	463335	693115	718738	751814	796919	823687	885884	942714	1046670	1191271	1321235	1516088	1676561	1911732	2046996	2483266	2983913	3502945	4212157	6279105	35035451	35198546	
.	7	2	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	7	41192	42343	60815	77120	88631	108831	123328	143505	159832	173149	192890	215207	237122	269471	282532	307320	535781	765131	794398	831036	881177	909532	976598	1036096	1138262	1286357	1421152	1623536	1797395	2037501	2197227	2660374	3170951	3770206	4463700	6779816	35033193	35198546	
.	8	2	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	8	41660	42234	55548	67408	77217	94664	106295	122839	137101	147161	163563	183988	203787	233538	244694	267689	498532	728651	756142	792227	840012	867216	933651	990234	1089982	1238081	1371534	1573807	1751533	1996294	2156936	2626295	3147288	3758641	4448220	6787720	35038695	35198546	
.	9	2	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	9	43487	43495	51414	58490	66765	81831	91003	105193	117917	126484	141489	160235	179308	208287	218509	241222	474374	707248	733401	768791	815558	842532	909174	966379	1065431	1214051	1349307	1555372	1733826	1982738	2146003	2617469	3147040	3762135	4452441	6791258	35034500	35198546	
.	10	2	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	10	48309	48313	49063	49762	50907	52512	54023	58700	62777	67859	74954	82718	92621	114550	125548	140820	366635	585557	604158	626446	668306	696896	746853	803335	929637	1074032	1210519	1421057	1580240	1786526	1942412	2412570	2892085	3494242	4330109	6624941	35028453	35198546	
.	11	2	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	11	48736	48739	49896	50775	52586	54471	56166	61317	65393	70067	77692	85110	94941	118140	127626	143418	371594	597270	617460	641536	687077	716725	768913	828704	946063	1100249	1239378	1443345	1617909	1855952	2020174	2500947	3010948	3632744	4468976	6809969	35017974	35198546	
.	12	2	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	12	49945	49946	51189	52104	54004	55773	57422	62197	66273	70697	78515	85861	95519	118890	127857	144045	373395	600454	621240	646178	691826	721811	776316	835656	949892	1106460	1245719	1453940	1634802	1881443	2050113	2539054	3065451	3710949	4542224	6907267	35014447	35198546	
.	13	2	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	13	52734	52757	54028	54986	57079	59079	61083	66920	71768	77410	87078	95503	106604	131690	141377	158850	389809	618036	640594	667613	716757	747945	805296	866917	980679	1142539	1284380	1498151	1684268	1936935	2113222	2609193	3150600	3821140	4659033	7053146	35006175	35198546	
.	14	2	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	14	57129	57240	59702	61809	63895	66256	68670	74237	78920	84170	93184	101308	111572	135710	144977	162115	393192	621141	643895	670226	718075	749210	806760	866916	979965	1141414	1281662	1498787	1685896	1939406	2115273	2616147	3162100	3843396	4680976	7083885	35007087	35198546	
.	15	2	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	15	65539	65541	66299	66996	68274	70227	72213	78839	84524	92109	101793	111963	124995	149657	164470	184002	405470	624471	647598	674891	726354	761342	815988	881200	1019535	1175841	1323784	1553717	1728045	1946203	2120091	2629735	3139532	3820609	4673734	7027798	35004701	35198546	
.	16	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	16	67583	68430	69088	70592	72486	74406	80388	85544	91642	101362	110324	122572	147185	159117	178546	406706	633888	658561	687195	741253	776017	833368	899237	1026785	1196083	1344442	1565915	1756491	2007780	2184084	2702630	3248304	3949173	4806288	7194373	35000796	35198546	
.	17	2	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	17	70599	70603	71370	71952	73444	75212	76967	82912	87981	93610	103455	112336	124787	149139	160577	181082	412512	641222	667969	697732	753525	789792	850585	916698	1041204	1215380	1363944	1590471	1789398	2050513	2231364	2758210	3323717	4049866	4911535	7312652	34994572	35198546	
