.	0	2	12	22	27	32	37	41	
.	0	189333	6788618	6788647	12024263	153063604	153064484	153064496	
.	1	2	12	22	27	32	37	
.	1	20357	7193774	7193785	12755005	153060233	153064496	
.	2	2	12	22	27	32	37	
.	2	2568	7070089	7189673	12599556	49074506	153064496	
.	3	2	12	22	27	32	37	
.	3	911	6732870	7828796	11943700	27072437	153064496	
.	4	2	12	22	27	32	37	41	
.	4	388	6724218	9431595	12087524	22965615	153064486	153064496	
.	5	2	12	22	27	32	37	41	
.	5	1582	5479356	7647292	10154163	18794766	37337679	153064496	
.	6	2	12	22	27	32	37	41	
.	6	152	5389557	6980334	9628428	17161073	33468867	153064496	
.	7	2	12	22	27	32	37	41	
.	7	2483	5343966	7611864	9941956	16643221	31206047	153064496	
.	8	2	12	22	27	32	37	41	
.	8	13	5321959	7843550	10660778	16571245	31123856	153064496	
.	9	2	12	22	27	32	37	41	
.	9	822	5964042	9063154	13189802	18149005	33824005	153064496	
.	10	2	12	22	27	32	37	41	
.	10	6250	5642359	8905207	12964655	17818669	32714121	153064496	
.	11	2	12	22	27	32	37	41	
.	11	351	5574241	8639170	12327029	17392751	31440166	153064496	
.	12	2	12	22	27	32	37	41	
.	12	1277	5802573	9051334	12985593	17797969	31879856	153064496	
.	13	2	12	22	27	32	37	41	
.	13	2159	5778377	9134783	13039633	17897916	31908832	153064496	
.	14	2	12	22	27	32	37	41	
.	14	2836	5802771	9081469	13084671	17846374	31918814	153064496	
.	15	2	12	22	27	32	37	41	
.	15	188	5722853	9029142	12976495	17782897	31625644	153064496	
.	16	2	12	22	27	32	37	41	
.	16	1408	6197405	9565722	13653626	18632004	32956380	153064496	
.	17	2	12	22	27	32	37	41	
.	17	1355	6029116	9440027	13524082	18602418	32882250	153064496	
.	18	2	12	22	27	32	37	41	
.	18	2596	6162130	9580086	13693276	18595865	32821561	153064496	
.	19	2	12	22	27	32	37	41	
.	19	2015	6417819	9888936	14116083	19056173	33511190	153064496	
.	20	2	12	22	27	32	37	41	
.	20	93	6385271	9848021	14083523	19028113	33510876	153064496	
.	21	2	12	22	27	32	37	41	
.	21	151	6587457	10101622	14394213	19402665	34181792	153064496	
.	22	2	12	22	27	32	37	41	
.	22	732	6494718	10037021	14353364	19416081	34322605	153064496	
.	23	2	12	22	27	32	37	41	
.	23	5058	6748774	10379037	14744343	19871719	34843125	153064496	
.	24	2	12	22	27	32	37	41	
.	24	848	6747004	10442648	14900042	20090392	35253424	153064496	
.	25	2	12	22	27	32	37	41	
.	25	1777	6864444	10582252	15081895	20358075	35782129	153064496	
.	26	2	12	22	27	32	37	41	
.	26	1109	6970389	10731584	15290160	20634862	36266551	153064496	
.	27	2	12	22	27	32	37	41	
.	27	64	7106244	10889230	15423782	20710303	36070692	153064496	
.	28	2	12	22	27	32	37	41	
.	28	3281	7392133	11316587	15996403	21393335	37055569	153064496	
.	29	2	12	22	27	32	37	41	
.	29	173	7197015	11135790	15863668	21276186	37003336	153064496	
.	30	2	12	22	27	32	37	41	
.	30	4293	7119243	10982101	15632310	21084080	36954587	153064496	
.	31	2	12	22	27	32	37	41	
.	31	3480	7115012	10925279	15496807	20857989	36264039	153064496	
.	32	2	12	22	27	32	37	41	
.	32	1297	7334978	11229682	15924618	21369999	37087266	153064496	
.	33	2	12	22	27	32	37	41	
.	33	2650	7465961	11388968	16106668	21511772	37130145	153064496	
.	34	2	12	22	27	32	37	41	
.	34	2074	7493019	11537920	16503950	22058324	38263420	153064496	
.	35	12	22	27	32	37	41	
.	35	7631831	11682329	16673856	22304297	38602803	153064496	
.	36	2	12	22	27	32	37	41	
.	36	1101	7622630	11677909	16664709	22401823	38568896	153064496	
.	37	2	12	22	27	32	37	41	
.	37	1556	7658234	11764785	16833234	22825735	38957671	153064496	
.	38	2	12	22	27	32	37	41	
.	38	8068	7831218	11948810	17013604	23240725	39209369	153064496	
.	39	2	12	22	27	32	37	41	
.	39	2685	7852338	12053727	17217313	23706426	39662539	153064496	
.	40	2	12	22	27	32	37	41	
.	40	212	7941927	12154965	17329825	24064506	39925051	153064496	
.	41	2	12	22	27	32	37	41	
.	41	284	7997062	12232945	17415781	24250654	40036777	153064496	
.	42	2	12	22	27	32	37	41	
.	42	412	8058469	12359925	17603803	24544836	40378404	153064496	
.	43	2	12	22	27	32	37	41	
.	43	624	8165346	12503666	17765684	24713931	40528923	153064496	
.	44	2	12	22	27	32	37	41	
.	44	7177	8037637	12390539	17667793	24647546	40462102	153064496	
.	45	2	12	22	27	32	37	41	
.	45	486	8089029	12398983	17626756	24652578	40489902	153064496	
.	46	2	12	22	27	32	37	41	
.	46	1821	8334431	12759338	18087307	25139265	40963576	153064496	
.	47	2	12	22	27	32	37	41	
.	47	3306	8262768	12676411	17997447	25122154	40973251	153064496	
.	48	2	12	22	27	32	37	41	
.	48	496	8455606	12893705	18229123	25398934	41259702	153064496	
.	49	2	12	22	27	32	37	41	
.	49	3387	8340059	12804303	18179656	25479964	41326636	153064496	
.	50	2	12	22	27	32	37	41	
.	50	2326	8435914	12903165	18244874	25684468	41441368	153064496	
.	51	2	12	22	27	32	37	41	
.	51	251773	8772324	13263204	18644108	26176231	41883004	153064496	
.	52	2	12	22	27	32	37	41	
.	52	2130	8536850	13075317	18479123	26205504	41885467	153064496	
.	53	2	12	22	27	32	37	41	
.	53	2117	8764183	13385574	18834354	26718548	42334964	153064496	
.	54	2	12	22	27	32	37	41	
.	54	1319	8801356	13470251	18959042	26960060	42479166	153064496	
.	55	2	12	22	27	32	37	41	
.	55	4832	8692479	13364195	18865304	26923568	42550452	153064496	
.	56	2	12	22	27	32	37	41	
.	56	1230	9171737	13913796	19413030	27462048	43023687	153064496	
.	57	2	12	22	27	32	37	41	
.	57	568	8881407	13753501	19342993	27451926	43017088	153064496	
.	58	2	12	22	27	32	37	41	
.	58	405	9068035	13910011	19449149	27649541	43405467	153064496	
.	59	2	12	22	27	32	37	41	
.	59	258582	9342651	14327184	19856516	28087520	43839914	153064496	
.	60	2	12	22	27	32	37	41	
.	60	909	9248215	14288518	19760720	27985679	43782122	153064496	
.	61	2	12	22	27	32	37	41	
.	61	657	9407516	14660172	20079579	28376886	44259350	153064496	
.	62	2	12	22	27	32	37	41	
.	62	1131	9311587	14843120	20038873	28401780	44351652	153064496	
.	63	2	12	22	27	32	37	41	
.	63	551	9556892	15274780	20378942	28814657	44878994	153064496	
.	64	2	12	22	27	32	37	41	
.	64	1791	9425787	15364473	20249436	28729804	44915135	153064496	
.	65	2	12	22	27	32	37	41	
.	65	96	9637232	15675761	20532462	29037268	45200979	153064496	
.	66	2	12	22	27	32	37	41	
.	66	1910	9569405	15786935	20549845	29016321	45106328	153064496	
.	67	2	12	22	27	32	37	41	
.	67	1893	9712478	15992245	20691369	29163863	45284508	153064496	
.	68	2	12	22	27	32	37	41	
.	68	80	9704826	16089117	20804241	29352968	45617738	153064496	
.	69	2	12	22	27	32	37	41	
.	69	993	10699106	17272046	22054296	30588252	46765119	153064496	
.	70	2	12	22	27	32	37	41	
.	70	456	10053854	16954634	22087959	30792796	47077823	153064496	
.	71	2	12	22	27	32	37	41	
.	71	3608	10225716	17038532	21893178	30806906	47382102	153064496	
.	72	2	12	22	27	32	37	41	
.	72	3551	10143185	16913563	21717209	30527883	47017251	153064496	
.	73	2	12	22	27	32	37	41	
.	73	1206	10266290	17023331	21851761	30678023	47261936	153064496	
.	74	2	12	22	27	32	37	41	
.	74	1294	10707639	17596224	22524794	31325336	47870911	153064496	
.	75	2	12	22	27	32	37	41	
.	75	951	10425522	17423629	22497933	31496627	48232586	153064496	
.	76	2	12	22	27	32	37	41	
.	76	1639	10362989	21437103	27416444	43480633	70461149	153064496	
.	77	2	12	22	27	32	37	41	
.	77	621	10313076	18590144	23811758	36030879	57096149	153064496	
.	78	2	12	22	27	32	37	41	
.	78	1423	9707885	17002350	21893630	32161765	50700715	153064496	
.	79	2	12	22	27	32	37	41	
.	79	573	9754136	16461779	21169018	30552488	47868022	153064496	
.	80	2	12	22	27	32	37	41	
.	80	564	9672964	16204077	20882539	29880925	46558743	153064496	
.	81	2	12	22	27	32	37	41	
.	81	246	9726757	16284435	20878956	29749310	46059841	153064496	
.	82	2	12	22	27	32	37	41	
.	82	3715	9622528	16120164	20763203	29646253	45882312	153064496	
.	83	2	12	22	27	32	37	41	
.	83	48	9790573	16311170	20949693	29891507	46046745	153064496	
.	84	2	12	22	27	32	37	41	
.	84	519	9710250	16239221	20883956	29896334	46108685	153064496	
.	85	2	12	22	27	32	37	41	
.	85	726	9970725	16542063	21245774	30326188	46631271	153064496	
.	86	2	12	22	27	32	37	41	
.	86	2421	10061475	16756532	21520250	30681300	46990471	153064496	
.	87	2	12	22	27	32	37	41	
.	87	1004	9825576	16538725	21274478	30474954	46897435	153064496	
.	88	2	12	22	27	32	37	41	
.	88	7224	9997289	16636452	21418499	30597541	47199228	153064496	
.	89	2	12	22	27	32	37	41	
.	89	1082	10112059	16874468	21700129	30942910	47750357	153064496	
.	90	2	12	22	27	32	37	41	
.	90	115	10100704	16834488	21650094	30916491	48006266	153064496	
.	91	2	12	22	27	32	37	41	
.	91	434	10479626	17322674	22178300	31480048	48985789	153064496	
.	92	2	12	22	27	32	37	41	
.	92	382	10495358	17515140	22435549	31839080	49658278	153064496	
.	93	2	12	22	27	32	37	41	
.	93	1097	10477275	17558351	22453999	31892056	50091808	153064496	
.	94	2	8	12	22	27	32	37	41	
.	94	9331	16652	10688563	17869177	22765756	32256156	50931386	153064496	
.	95	2	8	12	22	27	32	37	41	
.	95	3569	9980	10713435	17916458	22866478	32368780	51486856	153064496	
.	96	2	12	22	27	32	37	41	
.	96	536	10852445	18165248	23144654	32629501	52242044	153064496	
.	97	2	12	22	27	32	37	41	
.	97	288	11102038	18646465	23642224	33148451	53330050	153064496	
.	98	2	8	12	22	27	32	37	41	
.	98	2640	23733	11177134	18856496	23942038	33397571	54157764	153064496	
.	99	2	8	12	22	27	32	37	41	
.	99	4152	34932	11243109	18963263	24115599	33544416	54534483	153064496	
.	100	2	8	12	22	27	32	37	41	
.	100	3463	43241	11376109	19182150	24435053	33894018	55186474	153064496	
.	101	2	8	12	22	27	32	37	41	
.	101	1945	48951	11907991	19749320	25145233	34574894	56028992	153064496	
.	102	2	8	12	22	27	32	37	41	
.	102	1467	60038	11695695	19611562	25009073	34467818	56396590	153064496	
.	103	2	8	12	22	27	32	37	41	
.	103	386	96356	11926763	19703550	25315003	34642940	56846330	153064496	
.	104	2	8	12	22	27	32	37	41	
.	104	489	85236	12116250	19913613	25689207	34828498	57154190	153064496	
.	105	2	8	12	22	27	32	37	41	
.	105	4065	155801	12347834	19934572	25798976	34902177	57338258	153064496	
.	106	2	8	12	22	27	32	37	41	
.	106	212	149458	12779792	20188000	26149091	35244273	57828761	153064496	
.	107	2	8	12	22	27	32	37	41	
.	107	103	163934	12974471	20350357	26443477	35586151	58393103	153064496	
.	108	2	8	12	22	27	32	37	41	
.	108	7308	225106	13564752	20969374	27129097	36301740	59073004	153064496	
.	109	2	8	12	22	27	32	37	41	
.	109	1112	364634	13844173	21269936	27481379	36696972	59499279	153064496	
.	110	2	8	12	22	27	32	37	41	
.	110	2069	577198	14144198	21605843	27851425	37285169	59941316	153064496	
.	111	2	8	12	22	27	32	37	41	
.	111	949	1006516	14310698	21718078	27918353	37820054	60219598	153064496	
.	112	2	8	12	22	27	32	37	41	
.	112	4393	1134928	14890026	21969111	28206067	38263676	60760190	153064496	
.	113	2	8	12	22	27	32	37	41	
.	113	8889	1589399	15203552	22303937	28529464	39044937	61246500	153064496	
.	114	2	8	12	22	27	32	37	41	
.	114	1897	1786373	15819807	22860723	29017252	39775512	61799576	153064496	
.	115	2	8	12	22	27	32	37	41	
.	115	3284	2170559	15988375	23059347	29256550	40456708	62389023	153064496	
.	116	2	8	12	22	27	32	37	41	
.	116	890	2460407	16372615	23425069	29675885	41140710	62809011	153064496	
.	117	2	8	12	22	27	32	37	41	
